Crop Type,Crop Season,Farm Size (acres),Soil Type,Region,Labor Cost Per Day,Labor Availability,Water Availability,Pesticide Type,Fertilizer Type,Fertilizers Used,Land Preparation,Seeds,Fertilizers,Pesticides,Irrigation,Labor,Machinery,Transportation,Miscellaneous,Total Cost
Wheat,Dry,8.12,Peat,Bihar,476,High,High,Organic,Organic,"Calcium Nitrate, Compost, Vermicompost",25245,12269,34819,9744,20803,54112,31294,6999,4653,199938
Maize,Autumn,3.94,Silt,Maharashtra,513,Low,High,Organic,Organic,"Ammonium Sulphate, Lime, Gypsum, DAP",12167,6556,16686,4728,11828,30318,10756,3644,3578,100261
Soybean,Late Kharif,1.75,Peat,Rajasthan,270,Moderate,High,Chemical,Synthetic,Vermicompost,4498,3294,6220,3500,5962,4725,5535,2620,1083,37437
Sugarcane,Monsoon,4.56,Sandy,Haryana,369,Moderate,Moderate,Organic,Organic,"Bone Meal, Zinc Sulphate, Potash, Vermicompost",11975,9612,19608,5472,16722,20192,15404,4957,4031,107973
Wheat,Pre-Kharif,5.25,Peat,Punjab,366,Moderate,Moderate,Organic,Synthetic,Zinc Sulphate,17000,9534,21698,6300,16989,28822,17068,5297,4205,126913
Maize,Pre-Kharif,1.93,Clay,Tamil Nadu,594,High,Low,Organic,Organic,"NPK, Ammonium Sulphate",6062,3443,7147,2316,6458,12611,6560,2384,1015,47996
Maize,Zaid,8.05,Clay,Bihar,308,Low,Moderate,Organic,Synthetic,"Vermicompost, Phosphate",26251,14216,35122,9660,31009,37191,18483,8936,6512,187380
Wheat,Rainy,8.0,Sandy,Andhra Pradesh,332,Moderate,Moderate,Organic,Organic,"Calcium Nitrate, Bio-fertilizers",31000,18048,29976,9600,20936,29216,29880,7768,6632,183056
Maize,Late Kharif,7.5,Peat,Kerala,376,Low,Moderate,Chemical,Organic,Urea,20302,11258,29752,15000,29392,33840,15682,7178,5708,168112
Soybean,Post-Rabi,2.98,Clay,Haryana,450,High,High,Chemical,Organic,"NPK, Urea, Phosphate, DAP",9706,6383,14244,5960,11610,20115,11798,2420,2396,84632
Maize,Late Kharif,1.0,Sandy,Gujarat,432,Low,Low,Organic,Synthetic,Urea,2953,1661,4793,1200,3577,5184,3046,912,974,24300
Sugarcane,Zaid,3.72,Loam,Chhattisgarh,404,Low,Low,Organic,Organic,"Bone Meal, NPK, Phosphate, DAP",12886,8221,17253,4464,9791,16532,7552,5520,3315,85534
Rice,Harvest,9.23,Peat,Tamil Nadu,399,High,Moderate,Organic,Organic,"Bio-fertilizers, Compost, Zinc Sulphate, DAP",31576,18552,40381,11076,36329,55242,34520,7689,7421,242786
Rice,Transitional,9.16,Loam,Madhya Pradesh,457,Low,High,Chemical,Synthetic,"Green Manure, Ammonium Sulphate, Urea",25236,21416,39718,18320,36100,54420,23404,9224,5835,233673
Rice,Pre-Kharif,3.66,Loam,Bihar,532,High,Low,Organic,Synthetic,Green Manure,9812,9084,16920,4392,13959,23365,12744,4008,2935,97219
Soybean,Autumn,9.38,Clay,Haryana,356,Low,Moderate,Organic,Synthetic,"Lime, Urea, Compost",31320,16481,38983,11256,34049,36732,25101,11809,6988,212719
Maize,Summer,3.09,Peat,Punjab,588,High,Low,Organic,Organic,Zinc Sulphate,10280,5349,12786,3708,9029,19986,8655,2725,2330,74848
Maize,Late Kharif,5.97,Clay,Punjab,432,Moderate,Low,Chemical,Synthetic,"Ammonium Sulphate, Urea, Bio-fertilizers, Phosphate",18507,11737,26167,11940,22089,30948,16465,5994,3534,147381
Wheat,Winter,1.46,Silt,Punjab,349,High,High,Organic,Synthetic,"Bone Meal, Potash",5154,2502,5528,1752,4161,6624,4522,1362,1164,32769
Maize,Monsoon,3.27,Clay,West Bengal,493,High,Moderate,Organic,Synthetic,Bone Meal,11641,6099,12504,3924,9146,17733,7093,4539,1975,74654
Sugarcane,Post-Rabi,7.63,Sandy,Chhattisgarh,539,High,High,Organic,Synthetic,"Compost, DAP, Calcium Nitrate, Vermicompost",28612,13978,27033,9156,20364,57576,15321,11071,4090,187201
Sugarcane,Spring,2.24,Peat,Andhra Pradesh,262,Moderate,Moderate,Chemical,Organic,Bone Meal,5786,4948,11066,4480,6406,7043,6646,3062,1723,51160
Rice,Pre-Kharif,1.48,Silt,West Bengal,412,Moderate,High,Chemical,Organic,"Bone Meal, Vermicompost, DAP, Potash",4174,2609,7373,2960,5454,7927,3820,1339,1449,37105
Soybean,Harvest,4.51,Clay,Bihar,585,Moderate,Low,Organic,Organic,Vermicompost,15956,10887,17449,5412,17336,39575,16998,4582,4307,132502
Sugarcane,Harvest,2.32,Loam,Bihar,482,High,High,Organic,Organic,Bio-fertilizers,6211,3719,9944,2784,7774,11182,7352,2793,2297,54056
Rice,Monsoon,5.31,Peat,West Bengal,454,Low,High,Chemical,Synthetic,"Phosphate, Compost",15664,8114,21946,10620,20927,26518,19859,7376,3813,134837
Soybean,Rabi,6.06,Sandy,Gujarat,591,Low,Moderate,Organic,Organic,"Zinc Sulphate, Gypsum, Bone Meal",15162,11653,28179,7272,17174,35815,16810,7054,4315,143434
Soybean,Monsoon,1.14,Sandy,Bihar,545,High,High,Organic,Organic,Ammonium Sulphate,3337,2339,4390,1368,4486,8077,2599,1025,686,28307
Soybean,Autumn,5.62,Loam,Rajasthan,293,Low,Moderate,Chemical,Synthetic,"Ammonium Sulphate, Bio-fertilizers, DAP",14247,12375,27892,11240,21845,16467,18743,4951,4693,132453
Wheat,Spring,2.32,Loam,Maharashtra,358,Low,High,Chemical,Organic,"Potash, Bio-fertilizers, Calcium Nitrate, Phosphate",7781,4675,9772,4640,6566,11628,4914,3241,1714,54931
Maize,Transitional,7.64,Sandy,West Bengal,489,Moderate,Low,Organic,Organic,"Compost, DAP",28108,11567,34984,9168,26518,44832,15387,8450,5455,184469
Maize,Post-Rabi,2.18,Loam,Bihar,580,Low,Moderate,Chemical,Synthetic,"DAP, Gypsum, Compost",7796,3811,10189,4360,6625,12644,5293,3026,1131,54875
Soybean,Spring,6.01,Clay,Gujarat,290,Low,Low,Organic,Synthetic,"Calcium Nitrate, Zinc Sulphate, Urea",16876,13138,26552,7212,16816,19172,19809,7290,3432,130297
Sugarcane,Spring,6.9,Loam,Punjab,269,Moderate,High,Organic,Synthetic,DAP,26213,11778,24868,8280,18851,27842,25758,7549,5210,156349
Wheat,Late Kharif,6.64,Sandy,Rajasthan,540,Moderate,Moderate,Chemical,Organic,"Gypsum, Compost",20385,10219,25066,13280,18306,39442,25551,9575,4057,165881
Sugarcane,Zaid,1.27,Sandy,Punjab,468,Moderate,Low,Chemical,Synthetic,Phosphate,3457,3141,5330,2540,4646,5944,3028,1666,933,30685
Sugarcane,Post-Rabi,1.74,Peat,Rajasthan,346,Moderate,Low,Chemical,Synthetic,DAP,4446,3129,8194,3480,5836,6020,5403,2380,1556,40444
Rice,Rainy,7.99,Sandy,Chhattisgarh,593,Moderate,Moderate,Organic,Synthetic,"Vermicompost, NPK, Compost",23315,14070,35835,9588,27677,71071,25097,11210,4770,222633
Maize,Zaid,8.05,Clay,Karnataka,505,High,Moderate,Chemical,Organic,"Compost, Bone Meal",21300,15714,31894,16100,25140,52848,26396,7132,7615,204139
Soybean,Autumn,7.5,Sandy,Gujarat,525,High,High,Chemical,Organic,Phosphate,25020,18150,26648,15000,27382,51188,16598,9015,4852,193853
Sugarcane,Spring,5.43,Sandy,Madhya Pradesh,439,Moderate,Low,Chemical,Organic,"Phosphate, Bone Meal",13651,12999,20335,10860,21427,30989,18940,5631,5425,140257
Rice,Dry,6.98,Clay,West Bengal,470,High,Low,Organic,Organic,"Calcium Nitrate, Potash",22713,12396,27983,8376,20689,45928,22224,6010,5940,172259
Maize,Spring,2.84,Clay,Tamil Nadu,514,Low,Low,Organic,Organic,"Green Manure, Calcium Nitrate, Potash",9613,5353,12340,3408,10110,18977,8821,3042,2542,74206
Rice,Transitional,6.05,Sandy,Rajasthan,526,High,Moderate,Organic,Organic,"Urea, Vermicompost",16807,14423,26916,7260,19844,38188,18737,6474,3491,152140
Soybean,Harvest,1.82,Peat,Maharashtra,345,Low,High,Chemical,Synthetic,"Ammonium Sulphate, Compost, Zinc Sulphate",6095,3689,8343,3640,4583,9418,6918,2277,1551,46514
Wheat,Dry,3.48,Loam,Kerala,327,High,Moderate,Chemical,Organic,"Calcium Nitrate, NPK, Gypsum",10750,5805,12779,6960,12382,11380,9532,4374,3222,77184
Rice,Pre-Kharif,6.05,Silt,Andhra Pradesh,364,High,Moderate,Chemical,Organic,"Green Manure, Calcium Nitrate",20298,14925,27370,12100,15252,26426,20370,6691,3606,147038
Rice,Transitional,4.8,Sandy,Madhya Pradesh,569,Moderate,High,Organic,Synthetic,Urea,17381,7843,17822,5760,17693,27312,14150,5640,2587,116188
Maize,Zaid,2.68,Sandy,Tamil Nadu,516,Moderate,Moderate,Organic,Organic,"Green Manure, Zinc Sulphate, Calcium Nitrate",7689,6421,10106,3216,8415,17977,10613,3337,2409,70183
Maize,Late Kharif,7.67,Loam,Madhya Pradesh,599,Low,Moderate,Chemical,Organic,"Phosphate, Ammonium Sulphate",29852,12180,37744,15340,21622,59726,21169,10378,4119,212130
Maize,Dry,9.86,Silt,Rajasthan,276,Moderate,High,Chemical,Organic,"NPK, Bone Meal, Lime, Zinc Sulphate",38996,15618,38415,19720,38444,29935,24127,14415,5610,225280
Rice,Monsoon,2.12,Sandy,Maharashtra,447,High,Low,Organic,Organic,"Lime, Potash",7102,4789,8673,2544,6273,11372,5855,1715,1312,49635
Maize,Post-Rabi,6.9,Silt,Andhra Pradesh,315,Low,Low,Organic,Organic,"Zinc Sulphate, Ammonium Sulphate, Compost",25012,13020,24488,8280,20769,30429,19596,9184,4237,155015
Wheat,Autumn,6.69,Silt,Karnataka,366,Low,Moderate,Organic,Synthetic,"NPK, Bio-fertilizers",24385,10691,27496,8028,21863,34280,17889,10002,4215,158849
Rice,Late Kharif,3.8,Loam,Karnataka,386,Low,Low,Organic,Organic,"Gypsum, Ammonium Sulphate, Green Manure",14626,9257,17305,4560,11541,22002,12012,4408,3690,99401
Soybean,Monsoon,4.67,Peat,Andhra Pradesh,370,Moderate,Moderate,Organic,Organic,"Zinc Sulphate, Bone Meal",18451,9718,20450,5604,13515,24191,13865,3974,3222,112990
Maize,Kharif,4.71,Clay,Bihar,401,Low,High,Chemical,Organic,"Green Manure, DAP",16857,7649,23145,9420,14163,24553,11902,5181,4178,117048
Soybean,Rabi,8.97,Sandy,Punjab,600,High,Moderate,Chemical,Organic,"Bio-fertilizers, Zinc Sulphate",24111,21806,41163,17940,25878,59202,23295,10558,6844,230797
Soybean,Dry,5.41,Peat,Uttar Pradesh,291,High,High,Organic,Synthetic,"Bone Meal, Vermicompost, Lime",14758,10582,21927,6492,18443,15743,17361,4615,4956,114877
Rice,Pre-Kharif,6.19,Sandy,Kerala,513,High,Low,Chemical,Synthetic,"Bio-fertilizers, Lime",17326,10535,24240,12380,16614,38106,24345,7830,4649,156025
Soybean,Dry,3.23,Silt,Andhra Pradesh,303,Low,Moderate,Organic,Organic,Ammonium Sulphate,9690,6192,14622,3876,12833,11744,9742,3756,2061,74516
Sugarcane,Late Kharif,5.13,Loam,Bihar,586,Moderate,Low,Chemical,Organic,DAP,19843,10937,25111,10260,19448,33068,15154,4566,4386,142773
Wheat,Dry,8.45,Silt,Haryana,436,High,Moderate,Organic,Synthetic,"Bio-fertilizers, Gypsum",25156,16097,41574,10140,25620,47895,21860,7098,4326,199766
Sugarcane,Transitional,8.98,Sandy,Madhya Pradesh,296,High,High,Chemical,Synthetic,"Bio-fertilizers, Vermicompost, DAP, Gypsum",32337,19109,33540,17960,25234,37213,21067,9160,7858,203478
Wheat,Harvest,5.45,Clay,Haryana,285,Low,Moderate,Chemical,Organic,Calcium Nitrate,14862,8774,19800,10900,19969,21746,14355,4861,3891,119158
Rice,Summer,8.81,Sandy,Punjab,307,Low,High,Organic,Organic,"Potash, Vermicompost, NPK, Bone Meal",28668,13717,37592,10572,33293,27047,32218,11885,6845,201837
Rice,Post-Rabi,8.15,Silt,Bihar,317,Moderate,Low,Chemical,Organic,"Zinc Sulphate, Phosphate",31809,17596,33635,16300,31899,25836,18378,9438,5037,189928
Wheat,Kharif,6.79,Loam,Gujarat,419,Low,High,Chemical,Synthetic,"Vermicompost, Ammonium Sulphate, Urea, Lime",24437,15529,32015,13580,23487,31295,24430,8223,4135,177131
Wheat,Pre-Kharif,8.7,Silt,Punjab,338,High,Low,Chemical,Organic,"Urea, Ammonium Sulphate, Vermicompost, Gypsum",28240,17574,43222,17400,23777,35287,20654,9022,8074,203250
Rice,Post-Rabi,2.58,Silt,Andhra Pradesh,496,Low,High,Chemical,Organic,"Lime, Urea, Zinc Sulphate, Green Manure",7647,5934,9727,5160,7420,16636,8509,3145,2077,66255
Rice,Kharif,5.22,Silt,Rajasthan,419,Moderate,Low,Chemical,Synthetic,"Phosphate, Urea",15775,11646,23292,10440,15216,30621,13462,4552,4729,129733
Rice,Late Kharif,0.68,Sandy,Gujarat,478,High,Moderate,Chemical,Synthetic,"Bone Meal, Lime, Ammonium Sulphate",1825,1166,2385,1360,2411,4876,2267,919,483,17692
Maize,Winter,5.6,Sandy,Chhattisgarh,359,Low,Moderate,Organic,Synthetic,"DAP, Urea",15994,8495,26667,6720,21790,26135,13798,8316,3590,131505
Rice,Transitional,9.11,Clay,Uttar Pradesh,273,High,Moderate,Organic,Organic,"Bone Meal, Green Manure, Lime",35511,20871,42343,10932,35356,27357,36331,13091,6714,228506
Maize,Summer,1.62,Peat,Andhra Pradesh,413,Low,High,Chemical,Synthetic,"Vermicompost, Urea",5006,2692,6428,3240,5280,10036,5824,2414,1098,42018
Wheat,Spring,9.09,Clay,Tamil Nadu,297,Low,Moderate,Chemical,Synthetic,Green Manure,33806,21225,32333,18180,25843,26997,33860,9135,5545,206924
Soybean,Monsoon,4.89,Silt,Uttar Pradesh,597,Moderate,Low,Organic,Organic,"Potash, Bone Meal, Urea",18474,10988,21775,5868,17154,37951,16543,6753,4112,139618
Rice,Rainy,8.7,Silt,Maharashtra,359,Low,High,Organic,Synthetic,"Lime, Ammonium Sulphate",27979,17452,41464,10440,28049,37480,24577,8683,6325,202449
Sugarcane,Rainy,5.94,Peat,Odisha,486,Low,High,Organic,Organic,Compost,17968,13906,29569,7128,22911,31755,22786,5334,5120,156477
Sugarcane,Monsoon,5.83,Loam,Odisha,354,High,High,Organic,Organic,"Bio-fertilizers, Ammonium Sulphate",15589,12027,27360,6996,14756,20638,21256,7078,5189,130889
Soybean,Post-Rabi,2.06,Silt,Andhra Pradesh,511,High,High,Chemical,Synthetic,DAP,5768,4200,8061,4120,6328,15790,6538,2493,1320,54618
Soybean,Autumn,5.33,Peat,Tamil Nadu,476,Low,Moderate,Organic,Organic,DAP,16805,12648,23207,6396,17147,30445,18735,7686,4184,137253
Sugarcane,Harvest,1.65,Loam,Chhattisgarh,318,High,High,Chemical,Organic,"Potash, Zinc Sulphate, Gypsum",6107,2516,7361,3300,4470,6821,6389,1728,997,39689
Soybean,Rainy,4.49,Loam,Karnataka,527,High,Low,Organic,Synthetic,"Compost, Vermicompost, Calcium Nitrate, NPK",16317,10457,20052,5388,17830,33127,10183,5222,4301,122877
Rice,Pre-Kharif,3.23,Loam,Maharashtra,380,Moderate,High,Chemical,Synthetic,DAP,11282,6783,16089,6460,11176,17184,12442,4202,2758,88376
Wheat,Monsoon,5.73,Loam,Odisha,597,Moderate,Moderate,Organic,Organic,Vermicompost,19224,10612,28134,6876,22072,51312,18898,7438,5707,170273
Wheat,Harvest,4.7,Loam,Odisha,450,Moderate,Low,Chemical,Synthetic,"Green Manure, Compost, DAP, Potash",15820,11604,18546,9400,15585,27495,16638,4239,4376,123703
Soybean,Monsoon,5.98,Silt,Uttar Pradesh,592,High,Low,Organic,Synthetic,"Bone Meal, Vermicompost, Urea",20081,10477,28806,7176,19124,53102,23675,7415,3660,173516
Maize,Kharif,2.92,Silt,Rajasthan,360,Moderate,Moderate,Chemical,Organic,"Urea, Green Manure, Compost",10652,4666,13324,5840,8415,13666,6990,4196,2663,70412
Soybean,Late Kharif,8.81,Clay,Tamil Nadu,313,Low,Moderate,Chemical,Organic,"Bio-fertilizers, DAP, Green Manure",24668,21602,37901,17620,33725,27575,27663,10502,5876,207132
Rice,Late Kharif,5.29,Sandy,Bihar,387,High,High,Organic,Synthetic,"DAP, Green Manure, NPK, Zinc Sulphate",19123,8374,21181,6348,19594,20472,12394,7448,2761,117695
Wheat,Monsoon,1.65,Sandy,Tamil Nadu,533,High,Low,Organic,Synthetic,NPK,4670,3340,6603,1980,4818,8794,3651,1330,1368,36554
Maize,Transitional,7.85,Clay,Rajasthan,281,Low,High,Organic,Organic,"DAP, Bone Meal, Phosphate, Zinc Sulphate",24013,17584,33355,9420,25795,22058,26737,9710,4333,173005
Wheat,Spring,9.05,Peat,Karnataka,496,High,High,Organic,Organic,"Bone Meal, NPK, Potash, Phosphate",32671,21883,42336,10860,29693,67332,35738,8344,4670,253527
Maize,Winter,9.72,Clay,Haryana,516,High,High,Chemical,Synthetic,Zinc Sulphate,33660,20538,39405,19440,36168,55171,34885,10167,6231,255665
Soybean,Rainy,4.14,Loam,Gujarat,366,High,Low,Organic,Organic,"Urea, Bone Meal, DAP, Vermicompost",10934,8052,14656,4968,12677,15152,13422,3929,2770,86560
Rice,Autumn,3.74,Silt,Madhya Pradesh,321,Low,High,Organic,Synthetic,"Zinc Sulphate, Green Manure, Vermicompost, Gypsum",10491,9279,14306,4488,12810,16808,13576,4017,3587,89362
Sugarcane,Rabi,2.15,Silt,Rajasthan,448,Low,Moderate,Organic,Synthetic,"Zinc Sulphate, DAP, Bio-fertilizers",6358,5343,9165,2580,8576,10595,8000,3070,1202,54889
Maize,Spring,1.0,Silt,Karnataka,468,Low,Moderate,Chemical,Organic,"DAP, Vermicompost, Gypsum",3482,2063,4580,2000,3156,5148,3332,1473,802,26036
Rice,Autumn,5.2,Sandy,Kerala,430,High,High,Organic,Synthetic,"Ammonium Sulphate, NPK, Phosphate, Bio-fertilizers",18985,8570,19578,6240,19339,22360,12381,4560,4082,116095
Wheat,Post-Rabi,9.78,Clay,Haryana,366,High,Moderate,Chemical,Organic,"Phosphate, Gypsum, DAP",29829,23531,36626,19560,29056,50113,19570,12381,5956,226622
